date,open,high,low,close,volume,SMA_20
2025-11-10,23.55,23.55,22.85,22.95,616.14,
2025-11-11,23.0,23.1,22.65,22.75,611.29,
2025-11-12,22.95,23.0,22.8,23.0,334.21,
2025-11-13,23.1,23.15,23.0,23.15,245.93,
2025-11-14,23.0,23.35,23.0,23.3,316.81,
2025-11-17,23.3,23.3,22.85,22.9,294.05,
2025-11-18,22.75,22.75,22.35,22.45,592.01,
2025-11-19,22.6,22.6,22.3,22.4,275.54,
2025-11-20,22.45,22.8,22.45,22.65,146.88,
2025-11-21,22.75,22.75,22.45,22.5,127.34,
2025-11-24,22.6,22.9,22.6,22.9,309.05,
2025-11-25,22.9,23.05,22.9,23.0,154.58,
2025-11-26,23.15,23.3,23.0,23.15,273.35,
2025-11-27,23.15,23.3,22.95,23.05,174.67,
2025-11-28,23.05,23.4,22.9,23.15,175.8,
2025-12-01,23.05,23.35,23.05,23.15,120.6,
2025-12-02,23.2,23.35,23.2,23.25,171.61,
2025-12-03,23.35,23.35,23.15,23.3,163.63,
2025-12-04,23.35,23.45,23.2,23.4,196.82,
2025-12-05,23.3,23.3,23.05,23.15,143.4,22.9775
2025-12-08,23.1,23.1,22.85,22.9,183.16,22.975
2025-12-09,22.9,23.1,22.85,23.05,212.23,22.990000000000002
2025-12-10,22.9,23.05,22.9,22.95,122.28,22.9875
2025-12-11,22.9,23.1,22.9,23.0,133.47,22.979999999999997
2025-12-12,23.05,23.3,23.05,23.25,171.7,22.9775
2025-12-15,23.05,23.4,23.05,23.3,178.55,22.9975
2025-12-16,23.2,23.3,22.95,23.15,223.86,23.0325
2025-12-17,23.15,23.3,23.1,23.15,185.12,23.07
2025-12-18,23.15,23.15,23.0,23.05,114.31,23.089999999999996
2025-12-19,23.0,23.3,23.0,23.25,161.53,23.127499999999998
