date,open,high,low,close,volume,SMA_20
2025-11-10,157.0,161.5,153.0,153.5,499.83,
2025-11-11,154.0,154.0,152.0,152.0,289.5,
2025-11-12,152.5,154.0,152.5,153.5,187.78,
2025-11-13,154.0,154.5,151.5,151.5,254.72,
2025-11-14,153.0,153.0,150.0,150.0,384.28,
2025-11-17,150.5,150.5,147.0,147.5,414.56,
2025-11-18,147.0,148.0,144.0,145.0,499.35,
2025-11-19,146.0,146.0,143.0,144.0,328.22,
2025-11-20,144.5,147.0,144.5,147.0,173.62,
2025-11-21,146.5,147.5,144.0,145.0,154.64,
2025-11-24,146.5,148.0,145.0,148.0,141.44,
2025-11-25,150.0,150.0,147.5,148.0,118.95,
2025-11-26,148.5,150.0,148.5,149.0,160.97,
2025-11-27,149.0,151.0,149.0,150.5,68.16,
2025-11-28,151.0,152.5,151.0,152.5,113.75,
2025-12-01,153.0,154.5,152.5,153.0,217.69,
2025-12-02,153.0,153.0,151.0,152.5,221.18,
2025-12-03,153.0,153.0,151.0,151.0,113.48,
2025-12-04,151.0,152.5,150.5,150.5,127.96,
2025-12-05,152.0,152.0,149.5,150.5,142.1,149.725
2025-12-08,150.5,151.5,150.0,150.0,96.82,149.55
2025-12-09,149.5,151.0,149.0,149.0,131.07,149.4
2025-12-10,149.0,151.0,149.0,149.5,77.66,149.2
2025-12-11,150.0,151.5,149.5,150.5,92.9,149.15
2025-12-12,152.0,152.0,150.5,150.5,45.23,149.175
2025-12-15,150.5,150.5,149.0,149.0,133.13,149.25
2025-12-16,148.0,148.5,145.5,146.0,221.89,149.3
2025-12-17,147.0,149.0,147.0,147.0,90.75,149.45
2025-12-18,147.0,149.0,146.5,148.5,88.03,149.525
2025-12-19,150.5,150.5,148.5,150.0,144.42,149.775
