date,open,high,low,close,volume,SMA_20
2025-11-10,14.75,14.85,14.7,14.75,1343.36,
2025-11-11,14.8,14.8,14.55,14.7,2878.93,
2025-11-12,14.7,14.8,14.65,14.8,715.47,
2025-11-13,14.8,14.9,14.75,14.85,1223.78,
2025-11-14,14.8,14.9,14.75,14.8,1089.0,
2025-11-17,14.7,14.75,14.4,14.4,3211.33,
2025-11-18,14.3,14.65,14.25,14.65,2361.98,
2025-11-19,14.55,14.75,14.55,14.65,1324.87,
2025-11-20,14.65,14.8,14.65,14.75,795.32,
2025-11-21,14.75,14.85,14.6,14.7,1352.73,
2025-11-24,14.7,14.75,14.65,14.7,2017.28,
2025-11-25,14.75,14.8,14.7,14.75,409.64,
2025-11-26,14.8,15.1,14.8,14.95,1429.97,
2025-11-27,14.9,14.95,14.8,14.9,535.32,
2025-11-28,14.85,15.05,14.85,14.9,1472.29,
2025-12-01,14.8,15.3,14.8,15.0,1363.94,
2025-12-02,15.1,15.3,15.05,15.2,1524.95,
2025-12-03,15.25,15.25,15.05,15.15,904.63,
2025-12-04,15.1,15.2,15.1,15.15,751.25,
2025-12-05,15.1,15.2,15.0,15.05,1050.44,14.84
2025-12-08,15.05,15.05,14.95,15.0,831.94,14.852500000000001
2025-12-09,14.95,15.05,14.95,15.0,629.64,14.867500000000001
2025-12-10,14.95,15.05,14.95,15.0,708.94,14.877500000000001
2025-12-11,15.0,15.05,14.9,15.0,912.12,14.885
2025-12-12,15.1,15.15,14.95,15.0,1156.87,14.895000000000001
2025-12-15,15.0,15.35,14.95,15.0,1726.86,14.925
2025-12-16,14.95,14.95,14.75,14.9,2374.77,14.9375
2025-12-17,14.9,14.95,14.7,14.8,1933.26,14.944999999999999
2025-12-18,14.8,14.9,14.7,14.8,978.7,14.9475
2025-12-19,14.75,14.85,14.65,14.85,3781.28,14.954999999999998
