date,open,high,low,close,volume,SMA_20
2025-11-10,1250,1260,1250,1250,5623.22,
2025-11-11,1250,1270,1240,1240,6110.0,
2025-11-12,1240,1260,1240,1245,4410.57,
2025-11-13,1240,1255,1235,1245,3456.42,
2025-11-14,1230,1255,1225,1230,4560.8,
2025-11-17,1230,1250,1225,1230,4963.05,
2025-11-18,1220,1220,1170,1170,10222.03,
2025-11-19,1150,1195,1150,1160,7084.19,
2025-11-20,1180,1205,1170,1185,7617.51,
2025-11-21,1130,1155,1130,1145,7912.86,
2025-11-24,1155,1170,1145,1150,10115.07,
2025-11-25,1175,1205,1175,1185,7621.99,
2025-11-26,1220,1300,1215,1300,12757.92,
2025-11-27,1360,1370,1325,1340,20617.53,
2025-11-28,1375,1410,1365,1395,20747.61,
2025-12-01,1420,1450,1400,1445,20715.34,
2025-12-02,1445,1460,1410,1415,11909.88,
2025-12-03,1405,1435,1400,1400,10101.74,
2025-12-04,1405,1415,1385,1405,6588.59,
2025-12-05,1420,1445,1405,1425,7989.29,1278.0
2025-12-08,1430,1440,1405,1440,6112.18,1287.5
2025-12-09,1435,1440,1415,1420,5330.19,1296.5
2025-12-10,1435,1460,1425,1460,9199.88,1307.25
2025-12-11,1445,1450,1395,1395,10005.12,1314.75
2025-12-12,1390,1415,1380,1405,5427.61,1323.5
2025-12-15,1385,1450,1385,1420,10012.19,1333.0
2025-12-16,1420,1450,1415,1420,9341.94,1345.5
2025-12-17,1435,1455,1425,1425,9223.27,1358.75
2025-12-18,1425,1445,1415,1420,5601.52,1370.5
2025-12-19,1440,1445,1410,1410,8310.03,1383.75
