date,open,high,low,close,volume,SMA_20
2025-11-10,155.0,155.5,149.5,152.0,1534.05,
2025-11-11,152.5,154.0,150.0,151.0,927.6,
2025-11-12,150.5,151.5,148.5,151.0,1602.15,
2025-11-13,151.0,153.0,149.0,152.5,1076.16,
2025-11-14,149.0,155.0,148.5,150.5,2870.95,
2025-11-17,152.0,155.0,151.0,152.5,1590.36,
2025-11-18,151.0,152.0,143.0,144.5,3808.61,
2025-11-19,144.0,144.0,139.5,142.5,3377.29,
2025-11-20,145.0,146.0,142.5,145.0,4942.6,
2025-11-21,142.5,144.0,140.5,142.5,1668.23,
2025-11-24,145.0,147.0,142.5,145.5,1991.03,
2025-11-25,147.5,151.0,146.5,148.0,1419.8,
2025-11-26,148.5,156.0,148.5,154.0,2582.86,
2025-11-27,155.5,156.0,151.0,153.5,1539.93,
2025-11-28,155.0,155.0,152.5,154.5,1233.39,
2025-12-01,155.5,157.5,154.0,156.0,1890.47,
2025-12-02,165.0,166.0,158.0,158.5,8529.13,
2025-12-03,159.5,162.0,159.0,160.5,3119.83,
2025-12-04,161.5,173.5,160.5,171.5,8970.38,
2025-12-05,170.5,172.0,167.0,167.5,4263.82,152.675
2025-12-08,170.0,171.0,166.0,169.5,3492.81,153.55
2025-12-09,170.5,170.5,164.0,164.5,3980.41,154.225
2025-12-10,165.0,166.5,163.0,163.5,1789.82,154.85
2025-12-11,165.5,170.0,164.5,168.0,4536.02,155.625
2025-12-12,170.0,170.0,165.5,166.0,2192.99,156.4
2025-12-15,163.0,173.0,163.0,169.5,5729.82,157.25
2025-12-16,167.0,172.5,163.0,166.5,5366.23,158.35
2025-12-17,168.0,176.0,168.0,172.5,9549.78,159.85
2025-12-18,171.5,172.5,165.5,171.0,6206.42,161.15
2025-12-19,174.0,188.0,172.5,188.0,15067.87,163.425
