date,open,high,low,close,volume,SMA_20
2025-10-31,16.05,16.1,16.05,16.05,12.07,
2025-11-03,16.05,16.05,16.0,16.0,10.07,
2025-11-04,16.0,16.4,16.0,16.4,11.37,
2025-11-05,16.6,16.8,16.6,16.8,9.1,
2025-11-06,16.9,17.0,16.85,16.85,12.81,
2025-11-07,16.9,17.0,16.8,16.95,5.63,
2025-11-10,16.95,17.0,16.9,16.9,8.02,
2025-11-11,16.45,16.5,16.45,16.5,2.14,
2025-11-13,16.5,16.5,16.5,16.5,3.14,
2025-11-14,16.7,16.95,16.7,16.8,10.27,
2025-11-17,16.8,16.9,16.75,16.9,4.6,
2025-11-19,16.85,16.85,16.85,16.85,1.28,
2025-11-21,16.3,16.4,16.3,16.3,5.42,
2025-11-24,16.9,16.9,16.2,16.25,13.62,
2025-11-25,16.25,16.25,16.25,16.25,1.01,
2025-11-26,16.3,16.3,16.3,16.3,1.01,
2025-11-27,16.25,16.25,16.1,16.1,8.56,
2025-12-01,16.2,16.2,16.2,16.2,1.43,
2025-12-02,16.5,16.5,15.8,15.8,3.05,
2025-12-03,15.8,15.8,15.7,15.7,6.91,16.419999999999998
2025-12-04,15.95,15.95,15.95,15.95,1.2,16.415
2025-12-05,15.7,15.7,15.7,15.7,1.09,16.4
2025-12-08,15.65,15.65,15.65,15.65,1.27,16.3625
2025-12-10,15.6,15.6,15.6,15.6,1.48,16.302500000000002
2025-12-11,15.55,15.6,15.55,15.6,3.04,16.24
2025-12-12,15.6,15.6,15.6,15.6,3.04,16.1725
2025-12-15,15.6,15.6,15.6,15.6,4.03,16.1075
2025-12-16,15.6,15.6,15.3,15.35,19.19,16.05
2025-12-17,15.5,15.6,15.4,15.4,15.05,15.995000000000001
2025-12-18,15.25,15.95,15.25,15.95,13.7,15.9525
