date,open,high,low,close,volume,SMA_20
2025-11-10,9.6,9.6,9.3,9.3,94.89,
2025-11-11,9.52,9.52,9.25,9.25,61.51,
2025-11-12,9.25,9.4,9.25,9.29,64.1,
2025-11-13,9.28,9.28,9.13,9.15,82.47,
2025-11-14,9.24,9.24,9.14,9.14,49.44,
2025-11-17,9.26,9.26,9.07,9.12,38.29,
2025-11-18,9.17,9.17,9.03,9.07,76.45,
2025-11-19,9.5,9.5,9.04,9.07,38.74,
2025-11-20,9.4,9.4,9.09,9.1,95.12,
2025-11-21,8.74,9.02,8.74,9.01,51.01,
2025-11-24,9.12,9.12,9.01,9.06,39.17,
2025-11-25,9.01,9.1,9.01,9.07,30.65,
2025-11-26,9.18,9.22,9.07,9.22,150.38,
2025-11-27,9.22,9.22,9.11,9.17,17.41,
2025-11-28,9.05,9.18,9.05,9.06,57.07,
2025-12-01,9.17,9.96,9.1,9.96,451.39,
2025-12-02,9.9,10.5,9.52,10.3,757.89,
2025-12-03,10.0,10.8,9.89,10.15,262.7,
2025-12-04,10.15,10.2,9.65,9.85,77.62,
2025-12-05,9.99,9.99,9.63,9.68,55.14,9.351
2025-12-08,9.95,9.95,9.61,9.7,54.11,9.370999999999999
2025-12-09,9.81,10.15,9.64,9.7,110.96,9.3935
2025-12-10,9.89,9.89,9.45,9.56,34.27,9.407
2025-12-11,9.74,9.74,9.51,9.55,36.75,9.427
2025-12-12,9.59,9.68,9.59,9.6,93.01,9.45
2025-12-15,9.77,9.79,9.62,9.72,83.69,9.48
2025-12-16,9.52,9.65,9.51,9.55,83.01,9.504000000000001
2025-12-17,9.69,9.69,9.56,9.56,62.45,9.5285
2025-12-18,9.53,9.57,9.5,9.5,43.96,9.5485
2025-12-19,9.59,9.59,9.43,9.55,49.39,9.5755
